week,game_date,quarter_seconds_remaining,field_goal_result,kick_distance,score_differential,kicker_player_name,kicker_player_id,season,made
1,1999-09-12,900.0,made,31.0,-21.0,C.Jacke,00-0008080,1999,1
1,1999-09-12,401.0,made,25.0,-18.0,C.Jacke,00-0008080,1999,1
1,1999-09-12,4.0,made,25.0,15.0,N.Johnson,00-0008593,1999,1
1,1999-09-12,900.0,made,32.0,-12.0,C.Jacke,00-0008080,1999,1
1,1999-09-12,4.0,made,31.0,-2.0,C.Jacke,00-0008080,1999,1
1,1999-09-12,900.0,made,36.0,-7.0,S.Christie,00-0002975,1999,1
1,1999-09-12,21.0,made,29.0,-11.0,S.Christie,00-0002975,1999,1
1,1999-09-12,900.0,blocked,45.0,8.0,M.Vanderjagt,00-0016830,1999,0
1,1999-09-12,900.0,made,35.0,7.0,M.Vanderjagt,00-0016830,1999,1
1,1999-09-12,900.0,made,46.0,7.0,D.Brien,00-0001759,1999,1
1,1999-09-12,104.0,made,52.0,-3.0,J.Kasay,00-0009028,1999,1
1,1999-09-12,488.0,made,21.0,0.0,D.Brien,00-0001759,1999,1
1,1999-09-12,422.0,missed,53.0,-9.0,J.Kasay,00-0009028,1999,0
1,1999-09-12,847.0,made,50.0,9.0,A.Del Greco,00-0004147,1999,1
1,1999-09-12,900.0,made,33.0,3.0,D.Pelfrey,00-0012742,1999,1
1,1999-09-12,566.0,made,38.0,6.0,D.Pelfrey,00-0012742,1999,1
1,1999-09-12,12.0,made,33.0,-2.0,A.Del Greco,00-0004147,1999,1
1,1999-09-12,358.0,made,25.0,-7.0,B.Conway,00-0003395,1999,1
1,1999-09-12,351.0,made,42.0,-4.0,B.Conway,00-0003395,1999,1
1,1999-09-12,802.0,made,51.0,0.0,J.Hanson,00-0006800,1999,1
1,1999-09-12,461.0,missed,32.0,-3.0,T.Peterson,00-0012875,1999,0
1,1999-09-12,431.0,made,49.0,5.0,J.Hanson,00-0006800,1999,1
1,1999-09-12,900.0,made,27.0,0.0,P.Stoyanovich,00-0015791,1999,1
1,1999-09-12,900.0,made,21.0,4.0,B.Gowins,00-0006182,1999,1
